declared_date,payable_date,closing_price_declared,closing_price_payable,percentage_change
2025-06-04,2025-06-06,22.19,21.21,-4.416403785488961
2025-05-07,2025-05-09,25.12,23.06,-8.20063694267517
2025-04-09,2025-04-11,21.01,20.59,-1.9990480723465094
2025-03-12,2025-03-14,20.22,20.73,2.522255192878346
2025-02-12,2025-02-14,26.86,25.35,-5.6217423678332015
2025-01-15,2025-01-17,30.69,29.74,-3.0954708374063307
2024-12-18,2024-12-20,33.52,29.35,-12.440334128878286
2024-11-20,2024-11-22,44.4,34.94,-21.306306306306308
2024-10-23,2024-10-25,30.67,29.45,-3.9778284969025184
2024-09-05,2024-09-09,21.65,21.1,-2.540415704387978
2024-08-06,2024-08-08,25.67,23.37,-8.959875340864825
2024-07-03,2024-07-08,27.31,25.09,-8.128890516294394
2024-06-05,2024-06-07,34.86,31.34,-10.097532989099253
2024-05-03,2024-05-08,31.7,30.61,-3.4384858044164033
2024-04-03,2024-04-08,42.14,34.58,-17.94019933554818
